iter	Logloss
0	0.6897805801
1	0.6874249144
2	0.6853372369
3	0.6832217388
4	0.6810271653
5	0.6779800407
6	0.674964823
7	0.6729733622
8	0.6711930348
9	0.6685597846
10	0.6661391987
11	0.6634115262
12	0.6611033875
13	0.6591636073
14	0.6563778325
15	0.6551993083
16	0.6534896396
17	0.6519314441
18	0.650466654
19	0.6493351999
20	0.6478135169
21	0.6467665868
22	0.6458138738
23	0.6443017473
24	0.6415537325
25	0.6407312625
26	0.6391676399
27	0.6377635762
28	0.6355189942
29	0.6331303972
30	0.6324806526
31	0.631388007
32	0.6298130174
33	0.62927005
34	0.6270416001
35	0.6257863812
36	0.6244767833
37	0.6234021958
38	0.6225002317
39	0.6207052053
40	0.6197186883
41	0.6175716277
42	0.6158573739
43	0.6146557869
44	0.6133431418
45	0.6119626569
46	0.6098938572
47	0.6087164285
48	0.6076238474
49	0.606991426
50	0.6058214309
51	0.6044103581
52	0.6033330036
53	0.6024771164
54	0.6015130487
55	0.6004705266
56	0.5989552132
57	0.5976946022
58	0.5967875786
59	0.5958565757
60	0.595372912
61	0.5943370471
62	0.5924592015
63	0.5913169645
64	0.5904667932
65	0.5901363185
66	0.5891616506
67	0.5882574253
68	0.5877124865
69	0.5864236855
70	0.5857389189
71	0.5849722511
72	0.5845283912
73	0.5836480392
74	0.5827017422
75	0.5820976998
76	0.581511964
77	0.5806540338
78	0.5793071856
79	0.5787101159
80	0.5777664801
81	0.5768302868
82	0.5763795054
83	0.5755282795
84	0.5749348896
85	0.5737052725
86	0.573112537
87	0.5724500992
88	0.5721760294
89	0.5717772132
90	0.5714088478
91	0.5705581026
92	0.5700895944
93	0.5691690556
94	0.5683957099
95	0.5680190169
96	0.5677428888
97	0.5669162836
98	0.5663078525
99	0.5660522412
100	0.5655665989
101	0.5644219666
102	0.5638519178
103	0.5634005422
104	0.5631614172
105	0.5623932495
106	0.5618920329
107	0.56129953
108	0.5608084681
109	0.5601674015
110	0.5595361336
111	0.5587575803
112	0.5581987453
113	0.5577797489
114	0.557125978
115	0.5564226938
116	0.5560178062
117	0.5556867212
118	0.5556174723
119	0.5551671694
120	0.5544645861
121	0.5540718694
122	0.5537587339
123	0.5533280613
124	0.5529638465
125	0.5525913155
126	0.552252434
127	0.5519283567
128	0.5510746263
129	0.5507166497
130	0.549929473
131	0.5495686959
132	0.5488557306
133	0.5482093451
134	0.5475600351
135	0.546922713
136	0.5463295072
137	0.5460041251
138	0.5456682274
139	0.5452246461
140	0.545042495
141	0.5446127739
142	0.5440013001
143	0.5433173509
144	0.542998701
145	0.5427675964
146	0.5420975357
147	0.5417891097
148	0.5412680176
149	0.5409501372
150	0.5405437151
151	0.54018662
152	0.5397904847
153	0.5392530929
154	0.5386839434
155	0.5383793006
156	0.5378035757
157	0.5374222795
158	0.5370239749
159	0.5362349343
160	0.5356820965
161	0.5353027745
162	0.5349540327
163	0.5347463124
164	0.5341125646
165	0.5338909101
166	0.5335766098
167	0.5332881485
168	0.5327419669
169	0.5324658586
170	0.5320194353
171	0.5317260186
172	0.531292178
173	0.531020266
174	0.5307028881
175	0.5303830294
176	0.5301757859
177	0.5297207305
178	0.529507086
179	0.5287890578
180	0.5284245052
181	0.5279341866
182	0.5276057006
183	0.5272989608
184	0.5271813216
185	0.5268781021
186	0.5266618915
187	0.5263157383
188	0.5260237349
189	0.5258175615
190	0.5257273181
191	0.5255036469
192	0.5251256327
193	0.5247865508
194	0.5239902339
195	0.5237338019
196	0.5235622236
197	0.5232359087
198	0.5227789827
199	0.5224306928
200	0.5220916618
201	0.5219086435
202	0.521423304
203	0.5212621223
204	0.520887541
205	0.5205310687
206	0.5201104393
207	0.5198476353
208	0.519621443
209	0.5192288342
210	0.5190776
211	0.5188648699
212	0.5181598451
213	0.5177717442
214	0.517602794
215	0.5169314984
216	0.5166325965
217	0.5163624858
218	0.5159869108
219	0.5157095213
220	0.5153109162
221	0.5149126244
222	0.5145727849
223	0.514298993
224	0.5140089414
225	0.5136128917
226	0.5131886404
227	0.5126304426
228	0.5122113452
229	0.5115951802
230	0.511255997
231	0.5111262362
232	0.5108444477
233	0.5106231194
234	0.5102763833
235	0.5100636752
236	0.5097007923
237	0.5094314046
238	0.5092609007
239	0.5088800156
240	0.5085891377
241	0.5083776588
242	0.5082651024
243	0.5078424555
244	0.5073829583
245	0.5068713237
246	0.5066195359
247	0.5063974501
248	0.5061236881
249	0.5058235836
250	0.5054501678
251	0.5051754136
252	0.5049009182
253	0.5046643495
254	0.5044924044
255	0.5041718908
256	0.5039013533
257	0.5034574239
258	0.5032129127
259	0.502837784
260	0.5026384815
261	0.5024768882
262	0.5021560009
263	0.5015801336
264	0.5013311679
265	0.5011730901
266	0.5009358795
267	0.5007128926
268	0.5005177636
269	0.5000811186
270	0.4996860379
271	0.4994171511
272	0.4991674705
273	0.4989701964
274	0.4987428409
275	0.4985062969
276	0.4982897996
277	0.4980827811
278	0.4977926874
279	0.4976449334
280	0.4974924635
281	0.4972729072
282	0.4970255733
283	0.4968598714
284	0.4967149632
285	0.4964547771
286	0.4960505939
287	0.4957870921
288	0.4955263963
289	0.4953065925
290	0.4951529385
291	0.494714823
292	0.494375376
293	0.4941024765
294	0.4939696924
295	0.4935491197
296	0.4931472493
297	0.4929750867
298	0.4928307668
299	0.4925237655
300	0.4921093879
301	0.4917902282
302	0.4914983497
303	0.4913106065
304	0.490958929
305	0.4903803685
306	0.4901367894
307	0.4899327792
308	0.489712628
309	0.4893806343
310	0.4892224715
311	0.4890890444
312	0.4887995185
313	0.4886133858
314	0.4882251721
315	0.4880557516
316	0.4877973189
317	0.4874832743
318	0.4871892527
319	0.4869822181
320	0.4867188193
321	0.4865980226
322	0.4863354292
323	0.4860447183
324	0.4858005863
325	0.4856029932
326	0.4854734862
327	0.4853140657
328	0.4851486876
329	0.4849260768
330	0.4846891936
331	0.484384036
332	0.4842482694
333	0.4840942984
334	0.4836163367
335	0.4832486177
336	0.4830993767
337	0.4829258779
338	0.4825876733
339	0.4822973306
340	0.4820165524
341	0.4818631786
342	0.4816430701
343	0.4814794321
344	0.4812479404
345	0.4809953319
346	0.480722049
347	0.4804554018
348	0.4802070938
349	0.480013031
350	0.4797966978
351	0.4796187765
352	0.4792197325
353	0.4790258517
354	0.478795787
355	0.4786127803
356	0.4782496872
357	0.4781122469
358	0.4777436327
359	0.4775335471
360	0.4773509729
361	0.477141413
362	0.4770095943
363	0.4767774316
364	0.476558256
365	0.4764646664
366	0.4762396728
367	0.4760768547
368	0.4757010417
369	0.4755639464
370	0.4753445924
371	0.4750649605
372	0.4749155272
373	0.4746890069
374	0.4743889291
375	0.4742214033
376	0.4740187462
377	0.4736824748
378	0.4735876967
379	0.4735124211
380	0.4733607419
381	0.4731817785
382	0.4729791284
383	0.4728767705
384	0.4726246434
385	0.4723925124
386	0.4721726993
387	0.4719339027
388	0.471764587
389	0.4714908052
390	0.4713493726
391	0.4710180049
392	0.4707996464
393	0.4706334397
394	0.4704040919
395	0.470201418
396	0.4701554115
397	0.4699876868
398	0.4696782332
399	0.469488929
400	0.4693975056
401	0.4692734264
402	0.4691745614
403	0.4690389438
404	0.4687647523
405	0.468594713
406	0.4683570682
407	0.4681219588
408	0.4679287786
409	0.4676903423
410	0.4674325665
411	0.4672088155
412	0.466958498
413	0.4668333332
414	0.4667706863
415	0.466564929
416	0.4663960289
417	0.4662039091
418	0.4659492404
419	0.4657387803
420	0.4655170925
421	0.4652800861
422	0.4650818993
423	0.4649304079
424	0.4645860541
425	0.4641923904
426	0.4638919803
427	0.4637114556
428	0.4635802093
429	0.4634763015
430	0.4632560039
431	0.4630452851
432	0.4628449827
433	0.4626397756
434	0.4623461812
435	0.4621857382
436	0.461999006
437	0.4618627544
438	0.4617629784
439	0.4616282856
440	0.4613338224
441	0.4611607708
