iter	Passed	Remaining
424	1853	2508
425	1857	2502
426	1860	2497
427	1864	2492
428	1868	2486
429	1871	2481
430	1875	2475
431	1879	2470
432	1882	2465
433	1886	2460
434	1889	2454
435	1893	2449
436	1897	2444
437	1900	2438
438	1904	2433
439	1907	2427
440	1911	2422
441	1915	2417
442	1918	2412
443	1922	2407
444	1926	2402
445	1929	2396
446	1933	2391
447	1936	2386
448	1941	2382
449	1944	2377
450	1948	2371
451	1952	2366
452	1955	2361
453	1960	2357
454	1963	2352
455	1967	2347
456	1971	2342
457	1975	2337
458	1979	2332
459	1982	2327
460	1986	2322
461	1989	2317
462	1993	2312
463	1997	2307
464	2000	2302
465	2005	2297
466	2009	2293
467	2012	2288
468	2016	2282
469	2020	2278
470	2024	2273
471	2028	2269
472	2032	2264
473	2037	2260
474	2041	2256
475	2045	2252
476	2050	2247
477	2054	2243
478	2058	2239
479	2062	2234
480	2066	2230
481	2070	2225
482	2074	2220
483	2077	2214
484	2081	2210
485	2085	2205
486	2088	2200
487	2092	2195
488	2095	2190
489	2099	2185
490	2102	2180
491	2106	2175
492	2110	2170
493	2113	2165
494	2117	2160
495	2121	2155
496	2124	2150
497	2128	2145
498	2131	2140
499	2135	2135
500	2138	2130
501	2142	2125
502	2146	2120
503	2149	2115
504	2153	2110
505	2157	2106
506	2161	2101
507	2164	2096
508	2168	2091
509	2172	2087
510	2175	2082
511	2179	2077
512	2183	2072
513	2187	2068
514	2191	2063
515	2194	2058
516	2198	2053
517	2202	2049
518	2206	2045
519	2211	2041
520	2214	2036
521	2218	2031
522	2222	2027
523	2226	2022
524	2229	2017
525	2233	2012
526	2237	2008
527	2241	2003
528	2244	1998
529	2248	1993
530	2253	1989
531	2256	1985
532	2260	1980
533	2263	1975
534	2267	1971
535	2271	1966
536	2274	1961
537	2278	1956
538	2281	1951
539	2285	1947
540	2289	1942
541	2292	1937
542	2296	1932
543	2300	1928
544	2303	1923
545	2307	1918
546	2310	1913
547	2314	1908
548	2318	1904
549	2321	1899
550	2325	1894
551	2328	1890
552	2332	1885
553	2336	1880
554	2339	1876
555	2343	1871
556	2346	1866
557	2350	1861
558	2353	1856
559	2357	1852
560	2360	1847
561	2364	1842
562	2367	1837
563	2370	1832
564	2374	1828
565	2378	1823
566	2382	1819
567	2385	1814
568	2389	1809
569	2393	1805
570	2396	1800
571	2400	1796
572	2404	1791
573	2408	1787
574	2411	1782
575	2415	1778
576	2418	1773
577	2422	1769
578	2426	1764
579	2430	1760
580	2433	1755
581	2437	1750
582	2441	1746
583	2445	1741
584	2448	1737
585	2452	1732
586	2455	1727
587	2459	1723
588	2463	1718
589	2466	1713
590	2470	1709
591	2473	1704
592	2477	1700
593	2481	1695
594	2484	1691
595	2488	1686
596	2491	1681
597	2495	1677
598	2499	1673
599	2502	1668
600	2506	1663
601	2509	1659
602	2513	1654
603	2517	1650
